gene_callers_id	source	gene_name	gene_hmm_id	WAM_ALR	WAM_CCR	WAM_IPI	WAM_MAR	WAM_MYS	WAM_PBL	WAM_PJN	WAM_PPR	WAM_PST	WAM_ROL	WAM_SCR	WAM_SGN	WAM_SIS	WAM_TWN	WAR_ALR	WAR_CCR	WAR_IPI	WAR_MAR	WAR_MYS	WAR_PBL	WAR_PJN	WAR_PPR	WAR_PSK	WAR_PST	WAR_RNW	WAR_ROL	WAR_SCR	WAR_SGL	WAR_SIS
1401185	Archaea_76	AdoHcyase	PF05221.17	0.405466970387244	0	0.791192103264996	0	0.302961275626424	0	0.447228549734244	0	0.337129840546697	0.460895975702354	0.0782080485952923	0	0.0584662110858011	0	0.665907365223994	0	0.529992406985573	0.195899772209567	0.176917236142749	0.463173880030372	0.556567957479119	0.117691723614275	0.321184510250569	0.864844343204252	0.119969627942293	0.986332574031891	0.229309035687168	0.328018223234624	0.799544419134396
1107489	Archaea_76	Ribosomal_L1	PF00687.21	0	0	0.581529581529582	0	0.235209235209235	0	0	0	0	0.0274170274170274	0	0	0	0	0.920634920634921	0	0.614718614718615	0	0.45021645021645	0	0	0	0	0.196248196248196	0	0.773448773448773	0.435786435786436	0.484848484848485	0.688311688311688
1112240	Archaea_76	Ribosomal_S15	PF00312.22	0	0	0.382022471910112	0	0	0	0.254681647940075	0	0	0	0	0	0	0	0.550561797752809	0	0	0.865168539325843	0.389513108614232	0	0	0	0	0.677902621722846	0.176029962546816	0.288389513108614	0	0.49438202247191	0
1013424	Archaea_76	Ribosomal_S15	PF00312.22	0.739463601532567	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0.448275862068966	0	0	0	0.459770114942529	0	0	0	1	0.444444444444444	0	0.708812260536398	1	0	0.720306513409962
1711915	Archaea_76	Ribosomal_S19	PF00203.21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.917602996254682	0	0.0374531835205993	0	0	0	0.464419475655431	0	0	1	0.764044943820225	0	0.374531835205993
1711916	Archaea_76	Ribosomal_L22	PF00237.19	0.462686567164179	0	0.291044776119403	0	0	0	0	0	0	0	0	0	0	0	0.922885572139303	0	0	0	0.552238805970149	0	0.0522388059701493	0	0.0721393034825871	0.27363184079602	0	0.805970149253731	0	0.748756218905473	0.771144278606965
1711918	Archaea_76	Ribosomal_L16	PF00252.18	0	0	0.435714285714286	0	0.502380952380952	0	0.65952380952381	0	0	0.719047619047619	0	0	0.830952380952381	0	1	0.297619047619048	0.514285714285714	0.507142857142857	0	0	0.173809523809524	0.60952380952381	0.764285714285714	0.00952380952380952	0.00238095238095238	0.776190476190476	0.00714285714285714	0	0.561904761904762
1711919	Archaea_76	Ribosomal_L29	PF00831.23	0	0	0	0	0	0	0.705882352941177	0	0	0	0	0	0	0	1	0	0	0	0.588235294117647	0	0	0.220588235294118	0	1	1	0.740196078431373	0	0	0
1711920	Archaea_76	Ribosomal_S17	PF00366.20	0.585271317829457	0	0	0	0	0	0.581395348837209	0	0	0	0	0	0.410852713178295	0	1	0	0.36046511627907	0	0.375968992248062	0	0	0	0	0.275193798449612	0.949612403100775	0.248062015503876	0	0.25968992248062	0
1711921	Archaea_76	Ribosomal_L14	PF00238.19	0.409214092140921	0	0.13550135501355	0	0.598915989159892	0	0	0	0	0	0	0	0.176151761517615	0	0.845528455284553	0	0	0	0.588075880758808	0	0	0	0	0	0.168021680216802	0.829268292682927	0	0.639566395663957	0
1711925	Archaea_76	Ribosomal_S8	PF00410.19	0	0	0.837092731829574	0	0	0	0.754385964912281	0	0	0.68671679197995	0	0.681704260651629	0	0	0.298245614035088	0	0.300751879699248	0	0.586466165413534	0.411027568922306	0	0	0	0.0200501253132832	0.754385964912281	0.977443609022556	0	0.654135338345865	0
1711926	Archaea_76	Ribosomal_L6	PF00347.23	0	0	0	0	0	0	0	0	0	0.134057971014493	0.335144927536232	0.00181159420289855	0	0	0.701086956521739	0	0.702898550724638	0	0.547101449275362	0	0.226449275362319	0	0.516304347826087	0.826086956521739	0	0.817028985507246	0	0.623188405797101	0.166666666666667
185751	Archaea_76	Ribosomal_L23	PF00276.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422619047619048	0.952380952380952	0	0	0	0	0	0	0.892857142857143	0	0	0
185752	Archaea_76	Ribosomal_L4	PF00573.22	0.0175438596491228	0.0191387559808612	0.30622009569378	0	0.0191387559808612	0	0.0733652312599681	0	0	0	0	0	0.244019138755981	0	0.539074960127592	0	0	0.114832535885167	0.534290271132376	0.140350877192982	0.432216905901116	0	0	0	0.334928229665072	0.711323763955343	0	0.376395534290271	0.472089314194577
185753	Archaea_76	Ribosomal_L3	PF00297.22	0.790243902439024	0.343089430894309	0	0	0.798373983739837	0	0.808130081300813	0	0	0.341463414634146	0	0	0.491056910569106	0	1	0	0.164227642276423	0	0.489430894308943	0.221138211382114	0.391869918699187	0	0.517073170731707	0.447154471544715	0.385365853658537	0.905691056910569	0.24390243902439	0.671544715447154	0.452032520325203
